Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","356","India","5412","Yield","01460","Coconuts, in shell","2017","2017","kg/ha","5366.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01460","Coconuts, in shell","2018","2018","kg/ha","7826.9","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01460","Coconuts, in shell","2019","2019","kg/ha","6825.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01460","Coconuts, in shell","2020","2020","kg/ha","6445.5","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01460","Coconuts, in shell","2021","2021","kg/ha","6503.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01460","Coconuts, in shell","2022","2022","kg/ha","6182.5","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01460","Coconuts, in shell","2023","2023","kg/ha","6220","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01610","Coffee, green","2013","2013","kg/ha","845.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01610","Coffee, green","2014","2014","kg/ha","798.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01610","Coffee, green","2015","2015","kg/ha","772.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01610","Coffee, green","2016","2016","kg/ha","801","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01610","Coffee, green","2017","2017","kg/ha","694.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01610","Coffee, green","2018","2018","kg/ha","765.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01610","Coffee, green","2019","2019","kg/ha","766.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01610","Coffee, green","2020","2020","kg/ha","712.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01610","Coffee, green","2021","2021","kg/ha","789.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01610","Coffee, green","2022","2022","kg/ha","774.2","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01610","Coffee, green","2023","2023","kg/ha","760.2","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0112","Maize (corn)","2013","2013","kg/ha","2572.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0112","Maize (corn)","2014","2014","kg/ha","2572.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0112","Maize (corn)","2015","2015","kg/ha","2610.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0112","Maize (corn)","2016","2016","kg/ha","2597.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0112","Maize (corn)","2017","2017","kg/ha","2688.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0112","Maize (corn)","2018","2018","kg/ha","3065.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0112","Maize (corn)","2019","2019","kg/ha","3070.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0112","Maize (corn)","2020","2020","kg/ha","3006.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0112","Maize (corn)","2021","2021","kg/ha","3199.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0112","Maize (corn)","2022","2022","kg/ha","3387.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0112","Maize (corn)","2023","2023","kg/ha","3544.9","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01242","Peas, green","2013","2013","kg/ha","9518.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01242","Peas, green","2014","2014","kg/ha","8922.9","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01242","Peas, green","2015","2015","kg/ha","9773.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01242","Peas, green","2016","2016","kg/ha","9660.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01242","Peas, green","2017","2017","kg/ha","10084.9","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01242","Peas, green","2018","2018","kg/ha","10040.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01242","Peas, green","2019","2019","kg/ha","10076.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01242","Peas, green","2020","2020","kg/ha","10295.8","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01242","Peas, green","2021","2021","kg/ha","10310.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01242","Peas, green","2022","2022","kg/ha","10478","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01242","Peas, green","2023","2023","kg/ha","10824.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2013","2013","kg/ha","22760.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2014","2014","kg/ha","22922.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2015","2015","kg/ha","23125.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2016","2016","kg/ha","20508.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2017","2017","kg/ha","22306.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2018","2018","kg/ha","23954.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2019","2019","kg/ha","23097.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2020","2020","kg/ha","23677.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2021","2021","kg/ha","24123.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2022","2022","kg/ha","25236.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2023","2023","kg/ha","25789.9","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2013","2013","kg/ha","3624.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2014","2014","kg/ha","3586.8","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2015","2015","kg/ha","3600.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2016","2016","kg/ha","3740.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2017","2017","kg/ha","3863.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2018","2018","kg/ha","3956.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2019","2019","kg/ha","4083.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2020","2020","kg/ha","4075.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2021","2021","kg/ha","4196.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2022","2022","kg/ha","4257.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2023","2023","kg/ha","4322.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01802","Sugar cane","2013","2013","kg/ha","68240","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01802","Sugar cane","2014","2014","kg/ha","70569.5","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01802","Sugar cane","2015","2015","kg/ha","71466.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01802","Sugar cane","2016","2016","kg/ha","70393.5","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01802","Sugar cane","2017","2017","kg/ha","69001.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01802","Sugar cane","2018","2018","kg/ha","80198.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01802","Sugar cane","2019","2019","kg/ha","80104.5","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01802","Sugar cane","2020","2020","kg/ha","80496.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01802","Sugar cane","2021","2021","kg/ha","83566.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01802","Sugar cane","2022","2022","kg/ha","84906.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01802","Sugar cane","2023","2023","kg/ha","83348.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01620","Tea leaves","2013","2013","kg/ha","9319.5","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01620","Tea leaves","2014","2014","kg/ha","8690.4","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01620","Tea leaves","2015","2015","kg/ha","9460.7","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01620","Tea leaves","2016","2016","kg/ha","9415","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01620","Tea leaves","2017","2017","kg/ha","9267.9","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01620","Tea leaves","2018","2018","kg/ha","9357.1","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01620","Tea leaves","2019","2019","kg/ha","9484.9","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01620","Tea leaves","2020","2020","kg/ha","9767.2","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01620","Tea leaves","2021","2021","kg/ha","9951.9","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01620","Tea leaves","2022","2022","kg/ha","10101.1","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01620","Tea leaves","2023","2023","kg/ha","10250.4","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2013","2013","kg/ha","3153.8","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2014","2014","kg/ha","3145.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2015","2015","kg/ha","2749.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2016","2016","kg/ha","3033.9","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2017","2017","kg/ha","3199.9","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2018","2018","kg/ha","3368.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2019","2019","kg/ha","3533.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2020","2020","kg/ha","3439.8","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2021","2021","kg/ha","3520.8","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2022","2022","kg/ha","3537.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2023","2023","kg/ha","3520.7","A","Official figure",""
